ANT1,16.97,14.43,0.00,2450AT18B100E_2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,17.25,9.88,90.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,-6.67,-1.69,270.00,10uF,PERFECT_0402_0402
C10,16.62,4.03,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,16.63,4.76,0.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,14.55,6.84,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,13.51,6.82,90.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,8.52,6.90,180.00,4.7uF,PERFECT_0402_0402
C15,11.27,8.34,0.00,1.0uF,PERFECT_0402_0402
C16,10.51,6.35,0.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,7.65,4.07,90.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,7.68,2.69,90.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,18.72,-3.21,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,18.61,6.97,180.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,-1.24,-5.97,90.00,4.7uF/25V,PERFECT_0402_0402
C20,10.25,-2.62,270.00,4.7uF,PERFECT_0402_0402
C21,7.20,-0.96,180.00,4.7uF,PERFECT_0402_0402
C22,20.21,6.81,270.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,5.99,-7.75,90.00,0.1uF,GRM011R60J152KE01L_1_0201
C24,8.67,-5.57,180.00,10uF,PERFECT_0402_0402
C25,3.78,-13.93,0.00,22uF,PERFECT_0402_0402
C27,20.36,-7.31,180.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C29,11.21,-12.03,180.00,1uF,NORDIC_NRF_3_RESC0402_L
C3,22.26,7.02,0.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,-13.59,-12.44,90.00,1uF,NORDIC_NRF_3_RESC0402_L
C31,-2.73,-12.78,90.00,1uF,NORDIC_NRF_3_RESC0402_L
C32,17.35,-9.24,0.00,1uF,NORDIC_NRF_3_RESC0402_L
C33,3.79,-12.28,0.00,22uF,PERFECT_0402_0402
C34,15.55,-11.54,180.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
